qid,label,tipo
Q111923688,Prelazia de Roraima,prelazia_territorial
Q1346571,Eparquia maronita no Brasil,eparquia
Q1346584,Eparquia Greco-Melquita de Nossa Senhora do Paraíso,eparquia
Q1410045,Prelazia de Paranatinga,prelazia_territorial
Q1547389,Prelazia de Marajó,prelazia_territorial
Q1573163,Prelazia de Tefé,prelazia_territorial
Q1573506,Prelazia de São Félix,prelazia_territorial
Q1573523,Prelazia de Lábrea,prelazia_territorial
Q1574063,Prelazia de Itacoatiara,prelazia_territorial
Q16874531,Eparquia da Imaculada Conceição em Prudentópolis dos Ucranianos,eparquia
Q2029299,Ordinariato do Brasil para os católicos de rito oriental,ordinariado_oriental
Q261532,Eparquia de São João Batista em Curitiba dos Ucranianos,arquieparquia
Q620192,Exarcado Apostólico para os fiéis de Rito Armênio residentes na América Latina e México,exarcado
Q73766454,Prelazia de Alto Xingu-Tucumã,prelazia_territorial
Q765396,Prelazia de Itaituba,prelazia_territorial
Q899330,Ordinariado Militar do Brasil,ordinariado_militar
