qid,label,reason
Q105515130,Prelazia de Santarém,suppressed territorial prelature
Q105515141,Diocese de Santarém do Pará,former entity
Q110390184,,no mappable type: eastern catholic ecclesiastical province
Q124344740,Territorial Prelature of Cametá,suppressed territorial prelature
Q137664905,Roman Catholic Diocese of Baturité,duplicate of Q137655591 (Diocese de Baturité)
Q140589364,Territorial Prelature of Rio Branco,suppressed territorial prelature
Q140589373,Territorial Prelature of Roraima,suppressed territorial prelature
Q1557404,Prelazia do Xingu,suppressed territorial prelature
Q18817248,Metropolis of Fortaleza,no mappable type: ecclesiastical province (metropolis)
Q19985276,Abadia Territorial de Claraval,suppressed territorial abbey
Q2405434,Abadia Territorial de Nossa Senhora do Monserrate do Rio de Janeiro,suppressed territorial abbey
Q2405457,former territorial prelature of Bananal,suppressed territorial prelature
Q2405487,Territorial Prelature of São José de Alto Tocantins,suppressed territorial prelature
Q25401624,,no mappable type: ecclesiastical province (metropolis)
Q463406,Igreja Ortodoxa Polonesa,national church (not catholic — e.g. Orthodox)
Q51883178,Diocese Anglicana Meridional,anglican diocese (not catholic)
Q56354969,Arquidiocese Ortodoxa Antioquina de São Paulo e Todo o Brasil,no mappable type: ecclesiastical province (metropolis)
Q869324,Diocese de Guiratinga,extinct roman catholic diocese
