item,itemLabel,tipo,tipoLabel,coord,inicio,site,gcatholic,bispo,bispoLabel
http://www.wikidata.org/entity/Q110390184,Q110390184,http://www.wikidata.org/entity/Q10139375,Eastern Catholic ecclesiastical province,,,,,,
http://www.wikidata.org/entity/Q25401624,Q25401624,http://www.wikidata.org/entity/Q427961,Metrópole (Jurisdição religiosa),,,,,,
http://www.wikidata.org/entity/Q18817248,Metropolis of Fortaleza,http://www.wikidata.org/entity/Q427961,Metrópole (Jurisdição religiosa),,,,,,
http://www.wikidata.org/entity/Q137664905,Roman Catholic Diocese of Baturité,http://www.wikidata.org/entity/Q3146899,diocese da Igreja Católica,,2026-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q124344740,Territorial Prelature of Cametá,http://www.wikidata.org/entity/Q124344656,suppressed territorial prelature,,1952-11-29T00:00:00Z,,,,
http://www.wikidata.org/entity/Q140589364,Territorial Prelature of Rio Branco,http://www.wikidata.org/entity/Q124344656,suppressed territorial prelature,,1944-08-30T00:00:00Z,,,,
http://www.wikidata.org/entity/Q140589373,Territorial Prelature of Roraima,http://www.wikidata.org/entity/Q124344656,suppressed territorial prelature,,1963-04-29T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2405487,Territorial Prelature of São José de Alto Tocantins,http://www.wikidata.org/entity/Q124344656,suppressed territorial prelature,,,,,,
http://www.wikidata.org/entity/Q2405457,former territorial prelature of Bananal,http://www.wikidata.org/entity/Q124344656,suppressed territorial prelature,,1924-07-04T00:00:00Z,,bana0,,
http://www.wikidata.org/entity/Q19985276,Abadia Territorial de Claraval,http://www.wikidata.org/entity/Q135639685,suppressed territorial abbey,,1968-05-11T00:00:00Z,,clar0,,
http://www.wikidata.org/entity/Q2405434,Abadia Territorial de Nossa Senhora do Monserrate do Rio de Janeiro,http://www.wikidata.org/entity/Q135639685,suppressed territorial abbey,,1907-08-15T00:00:00Z,,,,
http://www.wikidata.org/entity/Q56354969,Arquidiocese Ortodoxa Antioquina de São Paulo e Todo o Brasil,http://www.wikidata.org/entity/Q427961,Metrópole (Jurisdição religiosa),,,https://www.arquidioceseortodoxa.com.br,,,
http://www.wikidata.org/entity/Q512391,Arquidiocese da Paraíba,http://www.wikidata.org/entity/Q105390172,arquidiocese metropolitana católica romana,,1892-01-01T00:00:00Z,http://www.arquidiocesepb.org.br/,para0,,
